,Company name,Symbol,Stock price (USD),Sector,Industry,Market
746,Charles Schwab,SCHW,$80.80,Finance,Investment Banks/Brokers,NYSE
747,Sea Limited,SE,$356.67,Technology Services,Internet Software/Services,NYSE
748,Seaboard Corp.,SEB,"$4,127.27",Consumer Non-Durables,Food: Meat/Fish/Dairy,NYSE AMERICAN
749,SolarEdge Technologies,SEDG,$304.23,Producer Manufacturing,Electrical Products,NASDAQ
750,Stitch Fix,SFIX,$31.66,Retail Trade,Apparel/Footwear Retail,NASDAQ
751,Sprouts Farmers Market,SFM,$22.30,Retail Trade,Food Retail,NASDAQ
752,Sangamo Therapeutics,SGMO,$8.56,Health Technology,Biotechnology,NASDAQ
753,Shake Shack,SHAK,$75.10,Consumer Services,Restaurants,NYSE
754,Shopify,SHOP,"$1,442.19",Retail Trade,Internet Retail,NYSE
755,Sherwin-Williams,SHW,$296.39,Process Industries,Industrial Specialties,NYSE
756,Companhia Siderurgica Nacional,SID,$4.78,Non-Energy Minerals,Steel,NYSE
757,Sirius XM,SIRI,$6.01,Consumer Services,Broadcasting,NASDAQ
758,Skillsoft Corp,SKIL,$12.72,Technology Services,Packaged Software,NYSE
759,Tanger Factory Outlet Centers,SKT,$16.93,Finance,Real Estate Investment Trusts,NYSE
760,Skechers,SKX,$43.59,Consumer Non-Durables,Apparel/Footwear,NYSE
761,Schlumberger,SLB,$34.36,Industrial Services,Oilfield Services/Equipment,NYSE
762,US Silica Holdings,SLCA,$10.11,Non-Energy Minerals,Other Metals/Minerals,NYSE
763,SLM Corporation,SLM,$17.64,Finance,Finance/Rental/Leasing,NASDAQ
764,SM Energy Company,SM,$30.91,Energy Minerals,Oil & Gas Production,NYSE
765,Smartsheet,SMAR,$70.26,Technology Services,Packaged Software,NYSE
766,Sumitomo Mitsui Financial Group,SMFG,$6.84,Finance,Major Banks,NYSE
767,Sema4,SMFR,$7.47,Technology Services,Internet Software/Services,NASDAQ
768,The Scotts Miracle-Gro Company,SMG,$146.70,Process Industries,Chemicals: Agricultural,NYSE
769,Snap,SNAP,$75.11,Technology Services,Internet Software/Services,NYSE
770,Snowflake,SNOW,$336.42,Technology Services,Packaged Software,NYSE
771,Sylvamo,SNPS,$305.00,Technology Services,Packaged Software,NASDAQ
772,Synopsys,SNPS,$305.00,Technology Services,Packaged Software,NASDAQ
773,Sanofi,SNY,$48.02,Health Technology,Pharmaceuticals: Major,NASDAQ
